store_name,address,newAddress
성균관대자연과학캠퍼스점,"경기 수원시 장안구 서부로 2066, 성균관대 자연과학 캠퍼스 N센터 1층  ","경기도 수원시 장안구 서부로 2066, 성균관대 자연과학 캠퍼스 N센터 1층"
IFC MALL 3호점,서울시 영등포구 국제금융로10 IFC Mall L2(2층)  ,서울특별시 영등포구 국제금융로10 IFC Mall L2(2층)
동탄능동DT점,"경기도 화성시 능동 453-4,453-8,454-1 소재 건물(1~3층)  ","경기도 화성시 능동 453-4,453-8,454-1 소재 건물(1~3층)"
수원인계DT점,경기도 수원시 팔달구 인계로79 (인계동)  ,경기도 수원시 팔달구 인계로79 (인계동)
분당차병원본관앞점,경기도 성남시 분당구 야탑로64 DS타워 1층  ,경기도 성남시 분당구 야탑로64 DS타워 1층
신용산역래미안점,서울시 용산구 한강대로95  ,서울특별시 용산구 한강대로95
선릉역3번출구세방빌딩점,서울특별시 강남구 선릉로 433 세방빌딩 1층  ,서울특별시 강남구 선릉로 433 세방빌딩 1층
광명아브뉴프랑점,경기도 광명시 양지로16 아브뉴프랑 지하 2층 (주)커피빈코리아 광명아브뉴프랑점  ,경기도 광명시 양지로16 아브뉴프랑 지하 2층 (주)커피빈코리아 광명아브뉴프랑점
새문안로점,"서울특별시 종로구 새문안로 91 고려빌딩 1,2층   ","서울특별시 종로구 새문안로 91 고려빌딩 1,2층"
문정동환인제약빌딩점,서울특별시 송파구 법원로6길 11 환인빌딩 1층   ,서울특별시 송파구 법원로6길 11 환인빌딩 1층
경희대점,서울시 동대문구 경희대로 10 (회기동)  ,서울특별시 동대문구 경희대로 10 (회기동)
파주DT점,경기도 파주시 문발로 131  ,경기도 파주시 문발로 131
창원시티세븐점,"경상남도 창원시 성산구 원이대로 320, 더시티세븐S-105호(대원동)  ","경상남도 창원시 성산구 원이대로 320, 더시티세븐S-105호(대원동)"
종로구청앞점,서울특별시 종로구 종로3길 34  ,서울특별시 종로구 종로3길 34
상수역점,"서울시 마포구 와우산로10길 3, 엘케이빌딩 1~3층  ","서울특별시 마포구 와우산로10길 3, 엘케이빌딩 1~3층"
안양시청앞점,"경기도 안양시 동안구 시민대로 260, 1층 104,105호  ","경기도 안양시 동안구 시민대로 260, 1층 104,105호"
하남신세계백화점B1점,"경기도 하남시 미사대로 750, 신세계백화점 지하1층 식품관  ","경기도 하남시 미사대로 750, 신세계백화점 지하1층 식품관"
종로센트로폴리스점,"서울시 종로구 우정국로 26 센트로폴리스 1층 Retail 1-5,6  ","서울특별시 종로구 우정국로 26 센트로폴리스 1층 Retail 1-5,6"
잠실향군타워점, 서울특별시 송파구 올림픽로35길 123 1층  ,서울특별시 송파구 올림픽로35길 123 1층
부산서면점,부산 부산진구 서면로 62-1 에이스메디컬타워 1F  ,부산 부산진구 서면로 62-1 에이스메디컬타워 1F
영종도운서역점,"인천시 중구 신도시남로 142번길 6 (메가스타 영종 139,140,141호)  ","인천시 중구 신도시남로 142번길 6 (메가스타 영종 139,140,141호)"
동대입구역점,"서울시 중구 장충동2가 188-11, 188-4, 188-5  ","서울특별시 중구 장충동2가 188-11, 188-4, 188-5"
해운대센텀호텔점,부산 해운대구 센텀3로 20 해운대센텀호텔 1F 101호  ,부산 해운대구 센텀3로 20 해운대센텀호텔 1F 101호
교대법원점,"서울 서초구 서초중앙로 156, 1층  ","서울특별시 서초구 서초중앙로 156, 1층"
부천북부역사거리점,경기도 부천시 부천로25  ,경기도 부천시 부천로25
부산남포역점,부산 중구 해관로 1 희남빌딩 1층  ,부산 중구 해관로 1 희남빌딩 1층
김포장기DT점,경기도 김포시 태장로 819  ,경기도 김포시 태장로 819
서초동점,서울특별시 서초구 반포대로70  ,서울특별시 서초구 반포대로70
남양주화도DT점,경기도 남양주시 경춘로 1641  ,경기도 남양주시 경춘로 1641
선정릉역점,서울시 강남구 봉은사로 331 SH빌딩점 B1-1층  ,서울특별시 강남구 봉은사로 331 SH빌딩점 B1-1층
화곡역점,서울시 강서구 강서로 162  ,서울특별시 강서구 강서로 162
부천스타필드시티점,경기도 부천시 옥길동 768 부천스타필드시티점 4층  ,경기도 부천시 옥길동 768 부천스타필드시티점 4층
광주문화전당역점,광주광역시 동구 서남동 서석로 44 1층 ~ 2층  ,광주광역시 동구 서남동 서석로 44 1층 ~ 2층
대구228공원앞점, 대구광역시 중구 동성로3길 106  ,대구광역시 중구 동성로3길 106
삼성루첸타워점,서울 강남구 대치동 943-2 루첸타워 1층 로비  ,서울특별시 강남구 대치동 943-2 루첸타워 1층 로비
수원AK플라자점,경기도 수원시 팔달구 덕영대로 924 AK플라자 4층  ,경기도 수원시 팔달구 덕영대로 924 AK플라자 4층
하나은행을지로본점,서울시 중구 을지로 35 하나은행 을지로본점 24F 내 스마트워크센터  ,서울특별시 중구 을지로 35 하나은행 을지로본점 24F 내 스마트워크센터
선릉KSA한국표준협회점,서울시 강남구 테헤란로69길 5 DT센터점 1층  ,서울특별시 강남구 테헤란로69길 5 DT센터점 1층
논현역8번출구점,서울시 서초구 강남대로 563 페이토플라자 1층 ( 잠원동 37-1 )  ,서울특별시 서초구 강남대로 563 페이토플라자 1층 ( 잠원동 37-1 )
이태원몬드리안호텔점,서울시 용산구 장문로 23 몬드리안 서울 이태원호텔 101호  ,서울특별시 용산구 장문로 23 몬드리안 서울 이태원호텔 101호
광주봉선점,광주광역시 남구 봉선로 168  ,광주광역시 남구 봉선로 168
KB국민은행노원역점,"서울시 노원구 동일로 1405, 1층 일부  ","서울특별시 노원구 동일로 1405, 1층 일부"
수서역원방빌딩점,서울 강남구 광평로 51길 6-23 원방테크사옥 1층  ,서울특별시 강남구 광평로 51길 6-23 원방테크사옥 1층
송파헬리오시티점,서울시 송파구 송파대로 345 ( 헬리오시티상가 3블럭 A동 B1층 22호 )  ,서울특별시 송파구 송파대로 345 ( 헬리오시티상가 3블럭 A동 B1층 22호 )
청계천을지로점,서울 중구 남대문로10길 33 1F  ,서울특별시 중구 남대문로10길 33 1F
서초중앙로점,"서울시 서초구 서초중앙로 209, 해성빌딩 1층  ","서울특별시 서초구 서초중앙로 209, 해성빌딩 1층"
일산동구청점,경기도 고양시 일산동구 정발산로 38  ,경기도 고양시 일산동구 정발산로 38
