store_name,address,newAddress,_GC_TYPE,_CLEANADDR,_X,_Y
현대프리미엄아울렛김포점,경기도 김포시 고촌읍 아라육로 152번길 100 현대프리미엄아울렛 WEST 3층 618호,경기도 김포시 고촌읍 아라육로 152번길 100 현대프리미엄아울렛 WEST 3층 618호,정,경기도 김포시 아라육로152번길 100 (고촌읍),126.78558911414908,37.59949880007813
인천공항탑승동130gate앞점,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-57,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-57,정,인천광역시 중구 공항로 272 (운서동),126.45200471725194,37.44978411824439
올림픽공원북2문앞점,서울시 강동구 강동대로193 1층,서울특별시 강동구 강동대로193 1층,정,서울특별시 강동구 강동대로 193 (성내동),127.1280149384601,37.52456630199367
여의도신영증권별관점,서울시 영등포구 국제금융로8길6 신영증권별관빌딩2층,서울특별시 영등포구 국제금융로8길6 신영증권별관빌딩2층,정,서울특별시 영등포구 국제금융로8길 6 (여의도동),126.92969743657157,37.521808561505914
강서그랜드아이파크점,서울시 강서구 화곡6동 1095번지 1층,서울특별시 강서구 화곡6동 1095번지 1층,정,서울특별시 강서구 화곡동 1095,126.85128765322784,37.5548934824689
석촌호수점,서울시 송파구 석촌호수로 222 제이타워 1층,서울특별시 송파구 석촌호수로 222 제이타워 1층,정,서울특별시 송파구 석촌호수로 222 (석촌동),127.10156081699121,37.507048029177916
신논현역점,서울특별시 강남구 봉은사로108 글라스톤빌딩1층,서울특별시 강남구 봉은사로108 글라스톤빌딩1층,정,서울특별시 강남구 봉은사로 108 (역삼동),127.02559387851291,37.50453484672572
매헌역점,서울시 서초구 동산로 1  1층,서울특별시 서초구 동산로 1 1층,정,서울특별시 서초구 동산로 1 (양재동),127.0401486148909,37.46898667660576
송도홈플러스점,인천광역시 연수구 송도국제대로 165(송도동) 홈플러스송도점1층,인천광역시 연수구 송도국제대로 165(송도동) 홈플러스송도점1층,정,인천광역시 연수구 송도국제대로 165 (송도동),126.65634560627485,37.380231862234126
분당정자점,경기도 성남시 분당구 정자일로 227(정자동) 백궁지엔느주차전용빌딩 1층,경기도 성남시 분당구 정자일로 227(정자동) 백궁지엔느주차전용빌딩 1층,정,경기도 성남시 분당구 정자일로 227 (정자동),127.10560114667705,37.3707199697492
장안점,"서울시 동대문구 장안동 372-1, 1층 일부 및 2층 전체","서울특별시 동대문구 장안동 372-1, 1층 일부 및 2층 전체",정,서울특별시 동대문구 장안동 372-1,127.07050104526192,37.57095015286635
오목교역사거리점,"서울시 양천구 오목로 350 목동썬텍씨티빌딩 1층,2층","서울특별시 양천구 오목로 350 목동썬텍씨티빌딩 1층,2층",정,서울특별시 양천구 오목로 350 (목동),126.87624815160815,37.52414187411828
파주운정홈플러스점,경기도 파주시 청암로 17번길 17 1층,경기도 파주시 청암로 17번길 17 1층,정,경기도 파주시 청암로17번길 17 (목동동),126.736804636531,37.72949995119324
삼성역글라스타워뒷점,서울시 강남구 영동대로85길 9 (대치동) 서전빌딩1층,서울특별시 강남구 영동대로85길 9 (대치동) 서전빌딩1층,정,서울특별시 강남구 영동대로85길 9 (대치동),127.06288548436736,37.50710321031085
상암한국지역정보개발원점,서울시 마포구 성암로301 KLID한국지역정보개발원 1층,서울특별시 마포구 성암로301 KLID한국지역정보개발원 1층,정,서울특별시 마포구 성암로 301 (상암동),126.88793412219556,37.58242994994013
범계역로데오점,경기도 안양시 동안구 평촌대로 223번길 41(호계동 1045-9) 2층,경기도 안양시 동안구 평촌대로 223번길 41(호계동 1045-9) 2층,정,경기도 안양시 동안구 평촌대로223번길 41 (호계동),126.95350912336558,37.39050612659536
홍대역8번출구점,서울시 마포구 양화로18안길 7 2층,서울특별시 마포구 양화로18안길 7 2층,정,서울특별시 마포구 양화로18안길 7 (동교동),126.9251071149275,37.556838885911986
문래동점,서울시 영등포구 문래동6가 5번지 1층,서울특별시 영등포구 문래동6가 5번지 1층,정,서울특별시 영등포구 문래동6가 5,126.88905310739885,37.519644008556725
문정역엠스테이트점,"서울특별시 송파구 법원로 114, 엠스테이트 B동 지하 1층, B145-147","서울특별시 송파구 법원로 114, 엠스테이트 B동 지하 1층, B145-147",정,서울특별시 송파구 법원로 114 (문정동),127.12021151591391,37.4857158437933
포스코옆삼성로86길점,서울특별시 강남구 삼성로86길 11 거봉빌딩 1층,서울특별시 강남구 삼성로86길 11 거봉빌딩 1층,정,서울특별시 강남구 삼성로86길 11 (대치동),127.05830459832147,37.50589610905632
수원망포역점,경기도 수원시 영통구 영통로 214번길 8 1층,경기도 수원시 영통구 영통로 214번길 8 1층,정,경기도 수원시 영통구 영통로214번길 8 (영통동),127.05757261737683,37.246225116338046
종각역점,서울시 종로구 종로 70 2층,서울특별시 종로구 종로 70 2층,정,서울특별시 종로구 종로 70 (관철동),126.9851723767851,37.56984435423314
송파파크하비오점,서울특별시 송파구 송파대로 111 송파파크하비오 205동 1층 110-113,서울특별시 송파구 송파대로 111 송파파크하비오 205동 1층 110-113,정,"서울특별시 송파구 송파대로 111, 110동 (문정동)",127.12314252203359,37.4811876956837
잠원논현역점,서울시 서초구 신반포로47길 5 건물전체 1~3층,서울특별시 서초구 신반포로47길 5 건물전체 1~3층,정,서울특별시 서초구 신반포로47길 5 (잠원동),127.01945183617569,37.510961276370914
역삼동태광타워점,서울시 강남구 역삼동 718-20  태광타워 1층,서울특별시 강남구 역삼동 718-20 태광타워 1층,정,서울특별시 강남구 역삼동 718-20,127.0399149863384,37.50101612877372
서초부띠크모나코점,서울특별시 서초구 서초대로 397 부띠크모나코 1층,서울특별시 서초구 서초대로 397 부띠크모나코 1층,정,서울특별시 서초구 서초대로 397 (서초동),127.02451720967026,37.49746950137688
상봉역점,서울특별시 중랑구 망우로 291 1층,서울특별시 중랑구 망우로 291 1층,정,서울특별시 중랑구 망우로 291 (상봉동),127.08479272000685,37.59644923161593
